Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,TP,TN,FP,FN,Training_Time_s
Logistic Regression,0.998812527831379,0.9989096496010309,0.9983159146069642,0.998612693851261,0.9999907327369264,20155,26948,22,34,0.48996591567993164
Decision Tree,0.9984732500689157,0.9979208950051978,0.9985140423002625,0.9982173805397375,0.998478378213535,20159,26928,42,30,5.098546743392944
Random Forest,0.9997243368179987,0.9998513526905163,0.9995046807667541,0.9996779866736023,0.9999995527985418,20179,26967,3,10,7.774451971054077
Support Vector Machine (LinearSVC),0.9996395173773829,0.9997027348394768,0.9994551488434296,0.9995789265102916,0.9999948502961438,20178,26964,6,11,1.686203956604004
XGBoost,0.9998515659789223,0.9999009214306945,0.9997523403833771,0.999826625386997,0.9999999595957615,20184,26968,2,5,2.7500369548797607
Proposed ANN (30 Features),0.9997455416781527,0.9997028084600525,0.9997028084600525,0.9997028084600525,0.9999967217470103,20183,26964,6,6,38.38223648071289
