Evaluation_Setting,Accuracy,Precision,Recall,F1,ROC-AUC
PhiUSIIL Test Split (In-Dataset),0.9319748086261371,0.9102285355365511,0.9331319035118134,0.9215379347453896,0.9810938714795902
UCI External Dataset (Cross-Dataset),0.47453640886476706,0.4571858257355015,0.9930583911800736,0.6261182982557766,0.5359794742087288
