Model_Scope,Accuracy,Precision,Recall,F1,ROC-AUC
Stage 1 Full Content ANN (30 MI Features),0.99966,0.99975,0.99945,0.9996,0.999996
Part C URL-Only ANN (20 Pre-Crawl Lexical Features),0.9977734896838355,0.9998506719761076,0.9949477438208926,0.9973931825517018,0.9987011093332634
