Configuration,Features,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training_Time_s
ANN without feature selection,48,0.9997243368179987,0.9996532937097573,0.9997028084600525,0.9996780504717799,0.999995229545019,30.458804845809937
ANN with Mutual Information,30,0.9997455416781527,0.9997028084600525,0.9997028084600525,0.9997028084600525,0.9999967217470103,38.38223648071289
